Stage,Development,HPF,Species,Mark,Temperature,Replicate.Bio,Abs.450,DNA.ng
Stage 8,Early Bowl,,A. pulchra,5fC,27,Rep3,0.047,216
Stage 8,Early Bowl,,A. pulchra,5fC,27,Rep4,NA,NA
Stage 9,Bowl,,A. pulchra,5fC,27,Rep1,0.049,300
Stage 9,Bowl,,A. pulchra,5fC,27,Rep2,0.051,300
Stage 9,Bowl,,A. pulchra,5fC,27,Rep3,0.047,300
Stage 9,Bowl,,A. pulchra,5fC,27,Rep4,0.046,300
Stage 10,Blastulation end,,A. pulchra,5fC,27,Rep1,0.051,256
Stage 10,Blastulation end,,A. pulchra,5fC,27,Rep2,0.047,300
Stage 10,Blastulation end,,A. pulchra,5fC,27,Rep3,0.047,300
Stage 10,Blastulation end,,A. pulchra,5fC,27,Rep4,NA,NA
Stage 11,Gastrula,,A. pulchra,5fC,27,Rep1,0.048,192
Stage 11,Gastrula,,A. pulchra,5fC,27,Rep2,0.045,256
Stage 11,Gastrula,,A. pulchra,5fC,27,Rep3,0.044,256
Stage 11,Gastrula,,A. pulchra,5fC,27,Rep4,0.045,216
Stage 12,Round stage,,A. pulchra,5fC,27,Rep1,0.045,256
Stage 12,Round stage,,A. pulchra,5fC,27,Rep2,0.046,300
Stage 12,Round stage,,A. pulchra,5fC,27,Rep3,0.044,300
Stage 12,Round stage,,A. pulchra,5fC,27,Rep4,NA,NA
Stage 13,Early tear drop,,A. pulchra,5fC,27,Rep1,0.046,300
Stage 13,Early tear drop,,A. pulchra,5fC,27,Rep2,0.047,300
Stage 13,Early tear drop,,A. pulchra,5fC,27,Rep3,0.045,300
Stage 13,Early tear drop,,A. pulchra,5fC,27,Rep4,NA,NA
Stage 14,Tear drop,,A. pulchra,5fC,27,Rep1,0.046,300
Stage 14,Tear drop,,A. pulchra,5fC,27,Rep2,0.046,300
Stage 14,Tear drop,,A. pulchra,5fC,27,Rep3,0.045,300
Stage 14,Tear drop,,A. pulchra,5fC,27,Rep4,NA,NA
Stage 15,Late tear drop,,A. pulchra,5fC,27,Rep1,0.044,300
Stage 15,Late tear drop,,A. pulchra,5fC,27,Rep2,0.046,300
Stage 15,Late tear drop,,A. pulchra,5fC,27,Rep3,0.045,300
Stage 15,Late tear drop,,A. pulchra,5fC,27,Rep4,NA,NA
Stage 16,Early elongated,,A. pulchra,5fC,27,Rep1,0.051,300
Stage 16,Early elongated,,A. pulchra,5fC,27,Rep2,0.048,300
Stage 16,Early elongated,,A. pulchra,5fC,27,Rep3,0.046,168
Stage 16,Early elongated,,A. pulchra,5fC,27,Rep4,NA,NA
Stage 17,Swimming larvae,,A. pulchra,5fC,27,Rep1,0.046,300
Stage 17,Swimming larvae,,A. pulchra,5fC,27,Rep2,0.046,300
Stage 17,Swimming larvae,,A. pulchra,5fC,27,Rep3,0.046,300
Stage 17,Swimming larvae,,A. pulchra,5fC,27,Rep4,NA,NA
NG,Standard,Standard,Standard,5fC,NA,Rep1,0.043,NA
NG,Standard,Standard,Standard,5fC,NA,Rep2,0.044,NA
NG,Standard,Standard,Standard,5fC,NA,Rep3,0.044,NA
Std10,Standard,Standard,Standard,5fC,NA,Rep1,0.078,NA
Std10,Standard,Standard,Standard,5fC,NA,Rep2,0.114,NA
Std10,Standard,Standard,Standard,5fC,NA,Rep3,0.095,NA
Std20,Standard,Standard,Standard,5fC,NA,Rep1,0.181,NA
Std20,Standard,Standard,Standard,5fC,NA,Rep2,0.164,NA
Std20,Standard,Standard,Standard,5fC,NA,Rep3,0.173,NA
Std40,Standard,Standard,Standard,5fC,NA,Rep1,0.277,NA
Std40,Standard,Standard,Standard,5fC,NA,Rep2,0.296,NA
Std40,Standard,Standard,Standard,5fC,NA,Rep3,0.257,NA
Std100,Standard,Standard,Standard,5fC,NA,Rep1,0.483,NA
Std100,Standard,Standard,Standard,5fC,NA,Rep2,0.464,NA
Std100,Standard,Standard,Standard,5fC,NA,Rep3,0.429,NA
PC,Standard,Standard,Standard,5fC,NA,Rep1,0.796,NA
PC,Standard,Standard,Standard,5fC,NA,Rep2,0.759,NA
PC,Standard,Standard,Standard,5fC,NA,Rep3,0.688,NA
Std400,Standard,Standard,Standard,5fC,NA,Rep1,1.198,NA
Std400,Standard,Standard,Standard,5fC,NA,Rep2,1.225,NA
Std400,Standard,Standard,Standard,5fC,NA,Rep3,1.178,NA
