Stage,Development,HPF,Species,Mark,Temperature,Replicate.Bio,Abs.450,DNA.ng
Stage 10,Blastulation end,17.5,A. cytherea,5fC,27,Rep2,0.291,210
Stage 10,Blastulation end,17.5,A. cytherea,5fC,27,Rep3,0.287,210
Stage 11,Gastrula,20,A. cytherea,5fC,27,Rep1,0.308,217
Stage 11,Gastrula,20,A. cytherea,5fC,27,Rep2,0.338,216
Stage 11,Gastrula,20,A. cytherea,5fC,27,Rep3,0.299,224
Stage 12,Round stage,36,A. cytherea,5fC,27,Rep1,0.29,204
Stage 12,Round stage,36,A. cytherea,5fC,27,Rep2,0.295,216
Stage 12,Round stage,36,A. cytherea,5fC,27,Rep3,0.305,152
Stage 13,Early tear drop,54,A. cytherea,5fC,27,Rep1,0.29,190
Stage 13,Early tear drop,54,A. cytherea,5fC,27,Rep2,0.282,243
Stage 13,Early tear drop,54,A. cytherea,5fC,27,Rep3,0.286,210
Stage 14,Tear drop,86,A. cytherea,5fC,27,Rep1,0.281,208
Stage 14,Tear drop,86,A. cytherea,5fC,27,Rep2,0.281,228
Stage 14,Tear drop,86,A. cytherea,5fC,27,Rep3,0.298,287
Stage 15,Late tear drop,98,A. cytherea,5fC,27,Rep1,0.297,287
Stage 15,Late tear drop,98,A. cytherea,5fC,27,Rep2,0.284,439
Stage 15,Late tear drop,98,A. cytherea,5fC,27,Rep3,0.29,216
Stage 16,Early elongated,170,A. cytherea,5fC,27,Rep1,0.313,216
Stage 16,Early elongated,170,A. cytherea,5fC,27,Rep2,0.293,96
Stage 16,Early elongated,170,A. cytherea,5fC,27,Rep3,0.31,216
NG,Standard,Standard,Standard,5fC,NA,Rep1,0.253,NA
NG,Standard,Standard,Standard,5fC,NA,Rep2,0.247,NA
NG,Standard,Standard,Standard,5fC,NA,Rep3,0.247,NA
Std10,Standard,Standard,Standard,5fC,NA,Rep1,0.668,NA
Std10,Standard,Standard,Standard,5fC,NA,Rep2,0.743,NA
Std10,Standard,Standard,Standard,5fC,NA,Rep3,0.485,NA
Std20,Standard,Standard,Standard,5fC,NA,Rep1,0.901,NA
Std20,Standard,Standard,Standard,5fC,NA,Rep2,0.775,NA
Std20,Standard,Standard,Standard,5fC,NA,Rep3,0.621,NA
Std40,Standard,Standard,Standard,5fC,NA,Rep1,1.336,NA
Std40,Standard,Standard,Standard,5fC,NA,Rep2,1.304,NA
Std40,Standard,Standard,Standard,5fC,NA,Rep3,1,NA
Std100,Standard,Standard,Standard,5fC,NA,Rep1,2.2,NA
Std100,Standard,Standard,Standard,5fC,NA,Rep2,2.022,NA
Std100,Standard,Standard,Standard,5fC,NA,Rep3,1.954,NA
PC,Standard,Standard,Standard,5fC,NA,Rep1,2.435,NA
PC,Standard,Standard,Standard,5fC,NA,Rep2,2.424,NA
PC,Standard,Standard,Standard,5fC,NA,Rep3,2.297,NA
Std400,Standard,Standard,Standard,5fC,NA,Rep1,2.72,NA
Std400,Standard,Standard,Standard,5fC,NA,Rep2,2.812,NA
Std400,Standard,Standard,Standard,5fC,NA,Rep3,2.743,NA
